@relation 'IBM-HR-Employee-Attrition_preprocess-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S1-weka.filters.unsupervised.attribute.Remove-R1-5,7-9,11-12,14-15,17-24,26,28-29,32-34-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V'

@attribute Education numeric
@attribute EnvironmentSatisfaction numeric
@attribute JobInvolvement numeric
@attribute JobSatisfaction numeric
@attribute RelationshipSatisfaction numeric
@attribute StockOptionLevel numeric
@attribute WorkLifeBalance numeric
@attribute YearsAtCompany numeric
@attribute Class_Attrition {Yes,No}

@data
2,4,3,4,3,0,4,5,No
3,4,3,1,1,1,2,1,Yes
2,1,4,3,4,1,2,4,No
3,2,3,4,1,1,2,2,Yes
1,2,3,3,3,1,3,5,No
4,4,3,3,4,1,4,5,No
1,1,3,2,2,0,3,5,Yes
3,4,3,4,3,2,3,2,No
3,2,4,4,2,2,3,6,No
3,1,3,3,4,1,3,6,Yes
2,1,3,3,1,0,3,2,Yes
3,3,2,2,3,3,3,1,No
1,1,2,4,4,0,2,5,No
1,4,2,3,2,2,3,4,No
2,4,3,2,1,1,1,1,Yes
1,4,3,3,3,2,3,5,No
3,2,3,1,3,0,2,0,Yes
2,4,3,2,3,1,3,1,No
2,3,2,1,2,3,3,1,No
1,1,3,4,3,0,3,6,No
3,3,4,3,4,1,3,5,No
1,4,1,3,3,1,3,1,Yes
1,2,3,1,2,3,4,6,No
3,1,3,4,4,1,3,2,No
2,2,2,3,2,0,2,4,No
3,3,2,3,4,0,3,6,Yes
1,4,2,4,3,2,3,2,No
3,1,2,3,4,0,3,2,No
3,1,3,3,4,2,3,4,No
2,2,4,1,4,2,3,6,No
2,2,2,4,2,0,3,5,No
3,1,3,1,3,1,3,2,Yes
1,2,3,3,3,0,3,7,No
1,1,4,1,3,0,2,4,No
1,3,3,1,4,0,3,5,No
1,3,2,1,1,0,4,5,No
2,3,2,2,3,3,3,1,Yes
1,4,3,4,2,1,4,7,Yes
4,3,3,4,2,0,3,4,No
1,3,1,4,4,0,3,1,Yes
3,4,3,2,4,0,2,2,No
1,4,3,4,3,3,2,3,No
1,1,4,3,2,0,2,3,No
3,1,3,4,2,1,2,3,No
2,1,2,1,1,0,3,3,Yes
1,4,4,3,3,2,3,7,No
3,3,3,2,3,0,3,2,No
1,4,3,3,3,1,2,2,No
3,1,1,3,3,0,2,1,Yes
3,3,2,4,3,1,2,2,No
3,3,2,2,3,0,2,5,No
2,1,3,1,3,1,3,5,No
4,1,3,2,4,1,3,3,Yes
4,4,2,4,2,0,3,8,Yes
3,3,3,3,2,1,3,8,No
4,2,3,3,2,1,2,7,Yes
2,1,3,3,1,2,3,0,No
3,3,1,4,2,0,1,1,Yes
3,3,3,4,3,1,3,3,No
2,1,1,4,1,1,3,2,No
3,4,2,1,3,0,2,4,Yes
2,3,2,3,1,1,3,8,Yes
3,3,2,1,2,0,3,7,No
2,4,4,4,2,0,3,8,No
2,2,1,1,4,0,3,2,Yes
3,1,3,1,2,1,3,3,Yes
1,1,2,3,3,2,3,5,No
2,1,2,1,1,2,3,5,No
1,1,2,4,4,0,3,4,No
3,3,4,1,4,0,3,7,No
4,4,1,3,3,3,4,3,No
2,4,3,2,3,0,3,5,Yes
3,3,3,4,1,0,3,5,No
2,2,2,3,3,1,2,1,No
3,3,4,4,1,1,3,7,No
3,3,3,1,4,0,2,7,No
3,4,2,3,4,0,3,4,No
1,1,3,2,4,1,3,2,No
4,4,3,1,4,1,3,1,No
3,4,3,3,4,0,3,9,No
3,4,3,2,4,1,1,2,No
3,3,2,3,4,1,2,1,No
3,3,3,2,4,1,2,5,No
3,4,3,2,4,0,2,7,No
1,3,2,1,3,1,3,2,No
3,4,3,3,4,0,3,7,No
3,3,3,2,2,0,2,4,No
3,4,3,3,1,0,3,5,No
1,3,3,2,4,1,3,5,No
4,2,3,2,1,1,3,8,No
2,4,3,2,2,1,3,5,No
4,1,2,3,3,2,2,5,No
1,3,3,1,2,1,3,4,Yes
4,1,2,4,4,0,3,4,No
2,3,3,1,4,0,3,9,No
3,4,2,1,1,0,1,7,No
1,3,3,4,2,1,3,4,No
1,3,2,4,2,1,3,9,No
3,4,3,4,3,3,2,0,No
3,2,3,3,3,0,3,1,No
4,3,3,2,2,1,3,2,No
4,1,3,4,2,1,3,3,No
5,1,1,3,4,3,3,3,No
3,4,2,3,3,1,3,4,No
3,1,3,1,4,2,2,9,No
2,1,3,3,2,3,3,5,No
3,3,4,4,2,1,3,1,No
3,4,2,4,4,0,3,6,No
4,4,3,3,4,0,3,8,Yes
1,2,3,1,2,0,4,5,No
3,4,2,1,1,2,3,7,No
3,2,4,3,1,0,3,3,No
3,4,3,4,3,0,2,4,No
3,3,3,4,3,0,2,6,No
2,4,3,4,3,0,2,5,No
3,4,2,1,4,1,2,7,No
2,1,4,3,2,0,2,8,No
4,2,3,2,3,1,2,5,No
3,1,2,2,1,0,3,1,Yes
3,4,3,4,1,0,3,7,No
3,3,2,3,2,0,3,4,Yes
4,3,3,3,3,0,2,2,Yes
3,2,3,3,2,0,4,5,No
3,3,3,4,3,1,1,5,No
4,1,3,3,3,0,1,0,Yes
2,2,4,1,3,0,3,8,No
4,1,1,4,4,0,2,3,Yes
4,2,3,4,4,0,3,7,No
2,3,3,1,4,1,3,10,No
2,1,1,2,4,0,3,7,Yes
4,3,3,3,4,0,2,2,Yes
2,2,2,4,4,1,3,5,No
4,1,3,4,2,0,3,4,No
3,3,3,3,2,1,3,2,No
2,2,2,1,1,0,2,10,Yes
3,3,3,3,4,0,4,8,No
2,1,3,3,4,1,2,4,No
3,1,2,2,1,2,3,1,Yes
3,4,3,2,2,3,2,9,No
1,1,2,2,1,0,1,5,No
3,3,2,3,4,1,3,3,No
1,3,3,4,4,0,2,1,Yes
4,4,2,1,3,3,3,6,No
4,4,3,3,3,0,2,4,No
3,4,2,4,2,1,3,2,No
3,4,3,1,2,0,2,3,No
3,3,1,4,1,3,3,9,No
3,3,2,1,3,1,3,5,No
3,4,3,1,4,0,3,5,No
3,1,3,3,4,1,4,3,Yes
2,3,2,1,3,0,2,0,Yes
3,1,2,3,4,1,1,1,No
3,3,3,1,4,0,3,4,No
1,3,1,2,2,2,2,8,No
3,3,3,2,3,3,3,1,Yes
3,3,3,4,3,1,4,5,No
2,3,3,4,2,1,3,3,No
3,2,3,2,4,1,3,1,No
2,3,2,4,3,1,3,7,No
2,4,3,3,4,0,3,2,Yes
3,3,3,3,3,0,2,5,No
3,3,2,4,1,1,2,4,Yes
2,4,2,3,4,0,3,9,No
4,2,4,1,3,1,3,10,No
1,4,3,3,1,1,3,10,No
3,3,3,3,4,0,2,6,Yes
1,2,3,4,4,1,3,11,No
1,3,2,4,3,0,2,4,Yes
3,3,3,4,1,0,3,6,No
2,4,3,4,4,1,3,3,No
3,1,2,2,2,2,3,0,No
2,2,3,4,1,0,2,10,No
4,2,1,1,4,0,2,7,Yes
5,2,2,4,3,0,3,3,No
1,4,2,2,1,2,3,7,No
3,4,3,3,1,1,2,4,No
3,4,3,4,4,0,3,3,No
4,2,2,3,3,0,3,10,No
5,3,2,2,2,0,4,2,Yes
3,4,3,4,2,2,4,3,No
2,2,3,3,1,1,2,6,No
4,2,1,4,4,1,3,10,No
3,3,3,3,3,0,3,1,No
3,4,3,2,4,2,3,2,No
3,2,3,3,1,1,2,8,No
2,2,2,1,4,1,3,1,Yes
3,2,2,3,3,3,3,3,Yes
1,1,2,4,3,3,3,4,No
3,3,3,4,2,1,3,3,No
3,4,3,2,4,2,2,7,No
1,2,2,4,3,1,2,10,No
1,4,2,1,1,1,1,11,Yes
1,2,3,4,1,1,3,10,No
1,2,1,4,1,1,2,5,No
3,1,3,4,1,3,3,3,No
3,3,3,4,2,2,3,6,No
3,4,2,4,2,2,2,7,No
3,2,3,3,1,2,3,7,Yes
3,2,2,1,1,0,2,10,No
1,3,3,4,1,0,3,8,Yes
3,1,3,2,1,0,1,5,Yes
3,3,2,3,3,2,3,10,No
1,4,3,2,3,3,3,3,No
4,1,2,1,3,0,1,9,Yes
1,3,1,1,3,1,3,7,No
3,3,4,3,1,2,2,1,No
1,2,3,1,4,0,3,10,No
1,1,3,4,4,1,4,6,No
3,3,2,3,3,0,3,5,No
3,1,2,2,2,1,2,10,No
4,4,3,3,3,1,3,5,No
3,2,1,2,3,0,3,2,Yes
3,4,4,3,4,0,4,3,No
3,4,2,1,3,1,3,1,No
3,1,2,1,4,3,3,2,Yes
1,4,3,4,2,0,4,11,No
1,4,1,3,4,2,3,7,No
1,4,2,2,4,0,3,1,No
3,4,3,1,2,0,3,3,No
3,3,4,1,4,0,3,1,Yes
3,1,3,1,1,1,2,5,No
4,1,3,4,2,3,4,2,Yes
2,4,2,2,1,1,3,4,No
4,4,2,1,2,0,1,5,No
2,4,2,3,1,0,3,10,No
1,4,2,4,3,2,2,10,No
3,3,2,4,1,3,3,11,No
2,3,2,2,2,3,2,11,No
3,3,3,4,4,0,1,11,No
3,1,3,3,3,0,2,5,No
3,4,3,1,4,1,3,3,No
