@relation IBM-HR-Employee-Attrition_preprocess-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S1-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V

@attribute Age numeric
@attribute BusinessTravel {Travel_Rarely,Travel_Frequently,Non-Travel}
@attribute DailyRate numeric
@attribute Department {Sales,'Research & Development','Human Resources'}
@attribute DistanceFromHome numeric
@attribute Education numeric
@attribute EducationField {'Life Sciences',Other,Medical,Marketing,'Technical Degree','Human Resources'}
@attribute EmployeeCount numeric
@attribute EmployeeNumber numeric
@attribute EnvironmentSatisfaction numeric
@attribute Gender {Female,Male}
@attribute HourlyRate numeric
@attribute JobInvolvement numeric
@attribute JobLevel numeric
@attribute JobRole {'Sales Executive','Research Scientist','Laboratory Technician','Manufacturing Director','Healthcare Representative',Manager,'Sales Representative','Research Director','Human Resources'}
@attribute JobSatisfaction numeric
@attribute MaritalStatus {Single,Married,Divorced}
@attribute MonthlyIncome numeric
@attribute MonthlyRate numeric
@attribute NumCompaniesWorked numeric
@attribute Over18 {Y}
@attribute OverTime {Yes,No}
@attribute PercentSalaryHike numeric
@attribute PerformanceRating numeric
@attribute RelationshipSatisfaction numeric
@attribute StandardHours numeric
@attribute StockOptionLevel numeric
@attribute TotalWorkingYears numeric
@attribute TrainingTimesLastYear numeric
@attribute WorkLifeBalance numeric
@attribute YearsAtCompany numeric
@attribute YearsInCurrentRole numeric
@attribute YearsSinceLastPromotion numeric
@attribute YearsWithCurrManager numeric
@attribute Class_Attrition {Yes,No}

@data
19,Travel_Rarely,265,'Research & Development',25,3,'Life Sciences',1,1269,2,Female,57,4,1,'Research Scientist',4,Single,2994,21221,1,Y,Yes,12,3,4,80,0,1,2,3,1,0,0,1,No
20,Travel_Frequently,871,'Research & Development',6,3,'Life Sciences',1,137,4,Female,66,2,1,'Laboratory Technician',4,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,Yes
20,Travel_Rarely,959,'Research & Development',1,3,'Life Sciences',1,657,4,Female,83,2,1,'Research Scientist',2,Single,2836,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0,No
20,Travel_Rarely,1362,'Research & Development',10,1,Medical,1,701,4,Male,32,3,1,'Research Scientist',3,Single,1009,26999,1,Y,Yes,11,3,4,80,0,1,5,3,1,0,1,1,Yes
20,Travel_Rarely,500,Sales,2,3,Medical,1,922,3,Female,49,2,1,'Sales Representative',3,Single,2044,22052,1,Y,No,13,3,4,80,0,2,3,2,2,2,0,2,Yes
20,Travel_Rarely,129,'Research & Development',4,3,'Technical Degree',1,960,1,Male,84,3,1,'Laboratory Technician',1,Single,2973,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0,Yes
20,Travel_Rarely,1097,'Research & Development',11,3,Medical,1,1016,4,Female,98,2,1,'Research Scientist',1,Single,2600,18275,1,Y,Yes,15,3,1,80,0,1,2,3,1,0,0,0,Yes
20,Travel_Frequently,769,Sales,9,3,Marketing,1,1077,4,Female,54,3,1,'Sales Representative',4,Single,2323,17205,1,Y,Yes,14,3,2,80,0,2,3,3,2,2,0,2,Yes
20,Travel_Rarely,805,'Research & Development',3,3,'Life Sciences',1,1198,1,Male,87,2,1,'Laboratory Technician',3,Single,3033,12828,1,Y,No,12,3,1,80,0,2,2,2,2,2,1,2,No
20,Travel_Rarely,654,Sales,21,3,Marketing,1,1226,3,Male,43,4,1,'Sales Representative',4,Single,2678,5050,1,Y,No,17,3,4,80,0,2,2,3,2,1,2,2,No
20,Travel_Rarely,1141,Sales,2,3,Medical,1,1657,3,Female,31,3,1,'Sales Representative',3,Single,2783,13251,1,Y,No,19,3,1,80,0,2,3,3,2,2,2,2,No
20,Travel_Rarely,727,Sales,9,1,'Life Sciences',1,1680,4,Male,54,3,1,'Sales Representative',1,Single,2728,21082,1,Y,No,11,3,1,80,0,2,3,3,2,2,0,2,No
21,Travel_Rarely,391,'Research & Development',15,2,'Life Sciences',1,30,3,Male,96,3,1,'Research Scientist',4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,No
21,Travel_Rarely,996,'Research & Development',3,2,Medical,1,379,4,Male,100,2,1,'Research Scientist',3,Single,3230,10531,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0,No
21,Travel_Frequently,756,Sales,1,1,'Technical Degree',1,478,1,Female,99,2,1,'Sales Representative',2,Single,2174,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2,Yes
21,Travel_Rarely,156,Sales,12,3,'Life Sciences',1,494,3,Female,90,4,1,'Sales Representative',2,Single,2716,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0,Yes
21,Travel_Rarely,1343,Sales,22,1,'Technical Degree',1,669,3,Male,49,3,1,'Sales Representative',3,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,No
21,Travel_Rarely,1427,'Research & Development',18,1,Other,1,923,4,Female,65,3,1,'Research Scientist',4,Single,2693,8870,1,Y,No,19,3,1,80,0,1,3,2,1,0,0,0,Yes
21,Travel_Rarely,1334,'Research & Development',10,3,'Life Sciences',1,1079,3,Female,36,2,1,'Laboratory Technician',1,Single,1416,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0,Yes
21,Travel_Rarely,984,'Research & Development',1,1,'Technical Degree',1,1131,4,Female,70,2,1,'Research Scientist',2,Single,2070,25326,1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2,No
21,Travel_Rarely,546,'Research & Development',5,1,Medical,1,1623,3,Male,97,3,1,'Research Scientist',4,Single,3117,26009,1,Y,No,18,3,3,80,0,3,2,3,2,2,2,2,No
21,Travel_Rarely,337,Sales,7,1,Marketing,1,1780,2,Male,31,3,1,'Sales Representative',2,Single,2679,4567,1,Y,No,13,3,2,80,0,1,3,3,1,0,1,0,Yes
21,Travel_Rarely,501,Sales,5,1,Medical,1,2021,3,Male,58,3,1,'Sales Representative',1,Single,2380,25479,1,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2,No
22,Non-Travel,1123,'Research & Development',16,2,Medical,1,22,4,Male,96,4,1,'Laboratory Technician',4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,No
22,Travel_Rarely,534,'Research & Development',15,3,Medical,1,144,2,Female,59,3,1,'Laboratory Technician',4,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,No
22,Travel_Rarely,594,'Research & Development',2,1,'Technical Degree',1,169,3,Male,100,3,1,'Laboratory Technician',4,Married,2523,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1,No
22,Travel_Rarely,1136,'Research & Development',5,3,'Life Sciences',1,284,4,Male,60,4,1,'Research Scientist',2,Divorced,2328,12392,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,2,No
22,Travel_Rarely,253,'Research & Development',11,3,Medical,1,511,1,Female,43,3,1,'Research Scientist',2,Married,2244,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2,No
22,Travel_Frequently,1368,'Research & Development',4,1,'Technical Degree',1,593,3,Male,99,2,1,'Laboratory Technician',3,Single,3894,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2,Yes
22,Travel_Rarely,617,'Research & Development',3,1,'Life Sciences',1,926,2,Female,34,3,2,'Manufacturing Director',3,Married,4171,10022,0,Y,Yes,19,3,1,80,1,4,3,4,3,2,0,2,Yes
22,Travel_Rarely,217,'Research & Development',8,1,'Life Sciences',1,1019,2,Male,94,1,1,'Laboratory Technician',1,Married,2451,6881,1,Y,No,15,3,1,80,1,4,3,2,4,3,1,1,No
22,Travel_Frequently,1256,'Research & Development',3,4,'Life Sciences',1,1203,3,Male,48,2,1,'Research Scientist',4,Married,2853,4223,0,Y,Yes,11,3,2,80,1,1,5,3,0,0,0,0,Yes
22,Non-Travel,457,'Research & Development',26,2,Other,1,1605,2,Female,85,2,1,'Research Scientist',3,Married,2814,10293,1,Y,Yes,14,3,2,80,0,4,2,2,4,2,1,3,No
22,Travel_Rarely,1294,'Research & Development',8,1,Medical,1,1783,3,Female,79,3,1,'Laboratory Technician',1,Married,2398,15999,1,Y,Yes,17,3,3,80,0,1,6,3,1,0,0,0,Yes
22,Travel_Rarely,581,'Research & Development',1,2,'Life Sciences',1,2007,4,Male,63,3,1,'Research Scientist',3,Single,3375,17624,0,Y,No,12,3,4,80,0,4,2,4,3,2,1,2,No
23,Travel_Rarely,541,Sales,2,1,'Technical Degree',1,113,3,Male,62,3,1,'Sales Representative',1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,No
23,Travel_Rarely,1309,'Research & Development',26,1,'Life Sciences',1,465,3,Male,83,3,1,'Research Scientist',4,Divorced,2904,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2,No
23,Travel_Rarely,885,'Research & Development',4,3,Medical,1,705,1,Male,58,4,1,'Research Scientist',1,Married,2819,8544,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2,No
23,Travel_Rarely,650,'Research & Development',9,1,Medical,1,758,2,Male,37,3,1,'Laboratory Technician',1,Married,2500,4344,1,Y,No,14,3,4,80,1,5,2,4,4,3,0,2,No
23,Travel_Rarely,310,'Research & Development',10,1,Medical,1,784,1,Male,79,4,1,'Research Scientist',3,Single,3505,19630,1,Y,No,18,3,4,80,0,2,3,3,2,2,0,2,No
23,Travel_Rarely,507,'Research & Development',20,1,'Life Sciences',1,1533,1,Male,97,3,2,'Laboratory Technician',3,Single,2272,24812,0,Y,No,14,3,2,80,0,5,2,3,4,3,1,2,No
23,Travel_Rarely,977,'Research & Development',10,3,'Technical Degree',1,1592,4,Male,45,4,1,'Research Scientist',3,Married,2073,12826,2,Y,No,16,3,4,80,1,4,2,3,2,2,2,2,No
23,Travel_Rarely,1320,'Research & Development',8,1,Medical,1,1684,4,Male,93,2,1,'Laboratory Technician',3,Single,3989,20586,1,Y,Yes,11,3,1,80,0,5,2,3,5,4,1,2,Yes
23,Travel_Rarely,160,'Research & Development',4,1,Medical,1,1735,3,Female,51,3,1,'Laboratory Technician',2,Single,3295,12862,1,Y,No,13,3,3,80,0,3,3,1,3,2,1,2,No
23,Travel_Rarely,571,'Research & Development',12,2,Other,1,1982,4,Male,78,3,1,'Laboratory Technician',4,Single,2647,13672,1,Y,No,13,3,3,80,0,5,6,4,5,2,1,4,No
23,Travel_Frequently,638,Sales,9,3,Marketing,1,2023,4,Male,33,3,1,'Sales Representative',1,Married,1790,26956,1,Y,No,19,3,1,80,1,1,3,2,1,0,1,0,Yes
24,Non-Travel,673,'Research & Development',11,2,Other,1,26,1,Female,96,4,2,'Manufacturing Director',3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,No
24,Travel_Rarely,813,'Research & Development',1,3,Medical,1,45,2,Male,61,3,1,'Research Scientist',4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Yes
24,Travel_Rarely,1127,'Research & Development',18,1,'Life Sciences',1,150,2,Male,52,3,1,'Laboratory Technician',3,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,No
24,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,'Sales Executive',3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,No
24,Travel_Rarely,1448,Sales,1,1,'Technical Degree',1,554,1,Female,62,3,1,'Sales Representative',2,Single,3202,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4,Yes
24,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,'Sales Representative',4,Married,2400,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1,No
24,Travel_Rarely,691,'Research & Development',23,3,Medical,1,639,2,Male,89,4,1,'Research Scientist',4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,No
24,Travel_Frequently,1287,'Research & Development',7,3,'Life Sciences',1,647,1,Female,55,3,1,'Laboratory Technician',3,Married,2886,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2,Yes
24,Travel_Rarely,693,Sales,3,2,'Life Sciences',1,720,1,Female,65,3,2,'Sales Executive',3,Single,4577,24785,9,Y,No,14,3,1,80,0,4,3,3,2,2,2,0,Yes
24,Non-Travel,1092,'Research & Development',9,3,'Life Sciences',1,812,3,Male,60,2,1,'Laboratory Technician',2,Divorced,2694,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0,No
24,Non-Travel,1269,'Research & Development',4,1,'Life Sciences',1,888,1,Male,46,2,1,'Laboratory Technician',4,Married,3162,10778,0,Y,No,17,3,4,80,0,6,2,2,5,2,3,4,No
24,Travel_Rarely,1206,'Research & Development',17,1,Medical,1,1009,4,Female,41,2,2,'Manufacturing Director',3,Divorced,4377,24117,1,Y,No,15,3,2,80,2,5,6,3,4,2,3,2,No
24,Travel_Rarely,984,'Research & Development',17,2,'Life Sciences',1,1219,4,Female,97,3,1,'Laboratory Technician',2,Married,2210,3372,1,Y,No,13,3,1,80,1,1,3,1,1,0,0,0,Yes
24,Travel_Rarely,1476,Sales,4,1,Medical,1,1445,4,Female,42,3,2,'Sales Executive',3,Married,4162,15211,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3,No
24,Travel_Frequently,381,'Research & Development',9,3,Medical,1,1494,2,Male,89,3,1,'Laboratory Technician',1,Single,3172,16998,2,Y,Yes,11,3,3,80,0,4,2,2,0,0,0,0,Yes
24,Non-Travel,830,Sales,13,2,'Life Sciences',1,1495,4,Female,78,3,1,'Sales Representative',2,Married,2033,7103,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0,No
24,Travel_Rarely,350,'Research & Development',21,2,'Technical Degree',1,1551,3,Male,57,2,1,'Laboratory Technician',1,Divorced,2296,10036,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0,No
24,Travel_Frequently,567,'Research & Development',2,1,'Technical Degree',1,1646,1,Female,32,3,1,'Research Scientist',4,Single,3760,17218,1,Y,Yes,13,3,3,80,0,6,2,3,6,3,1,3,No
24,Travel_Rarely,581,'Research & Development',9,3,Medical,1,1707,3,Male,62,4,1,'Research Scientist',3,Married,4401,17616,1,Y,No,16,3,4,80,1,5,1,3,5,3,0,4,No
24,Travel_Rarely,240,'Human Resources',22,1,'Human Resources',1,1714,4,Male,58,1,1,'Human Resources',3,Married,1555,11585,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0,Yes
24,Travel_Rarely,506,'Research & Development',29,1,Medical,1,1725,2,Male,91,3,1,'Laboratory Technician',1,Divorced,3907,3622,1,Y,No,13,3,2,80,3,6,2,4,6,2,1,2,No
24,Travel_Frequently,897,'Human Resources',10,3,Medical,1,1746,1,Male,59,3,1,'Human Resources',4,Married,2145,2097,0,Y,No,14,3,4,80,1,3,2,3,2,2,2,1,No
24,Travel_Rarely,771,'Research & Development',1,2,'Life Sciences',1,1981,2,Male,45,2,2,'Healthcare Representative',3,Single,4617,14120,1,Y,No,12,3,2,80,0,4,2,2,4,3,1,2,No
25,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,'Sales Executive',3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,Yes
25,Travel_Rarely,1280,'Research & Development',7,1,Medical,1,143,4,Male,64,2,1,'Research Scientist',4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,No
25,Travel_Rarely,959,Sales,28,3,'Life Sciences',1,183,1,Male,41,2,2,'Sales Executive',3,Married,8639,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2,No
25,Travel_Rarely,685,'Research & Development',1,3,'Life Sciences',1,350,1,Female,62,3,2,'Manufacturing Director',3,Married,4898,7505,0,Y,No,12,3,4,80,2,5,3,3,4,2,1,2,No
25,Non-Travel,675,'Research & Development',5,2,'Life Sciences',1,369,2,Male,85,4,2,'Healthcare Representative',1,Divorced,4000,18384,1,Y,No,12,3,4,80,2,6,2,3,6,3,1,5,No
25,Travel_Rarely,891,Sales,4,2,'Life Sciences',1,527,2,Female,99,2,2,'Sales Executive',4,Single,4487,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3,No
25,Travel_Rarely,688,'Research & Development',3,3,Medical,1,538,1,Male,91,3,1,'Laboratory Technician',1,Married,4031,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2,Yes
25,Travel_Rarely,622,Sales,13,1,Medical,1,645,2,Male,40,3,1,'Sales Representative',3,Married,2096,26376,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6,No
25,Travel_Rarely,180,'Research & Development',2,1,Medical,1,854,1,Male,65,4,1,'Research Scientist',1,Single,3424,21632,7,Y,No,13,3,3,80,0,6,3,2,4,3,0,1,No
25,Travel_Rarely,141,Sales,3,1,Other,1,879,3,Male,98,3,2,'Sales Executive',1,Married,4194,14363,1,Y,Yes,18,3,4,80,0,5,3,3,5,3,0,3,No
25,Travel_Rarely,583,Sales,4,1,Marketing,1,885,3,Male,87,2,2,'Sales Executive',1,Married,4256,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3,No
25,Travel_Rarely,867,Sales,19,2,Marketing,1,952,3,Male,36,2,1,'Sales Representative',2,Married,2413,18798,1,Y,Yes,18,3,3,80,3,1,2,3,1,0,0,0,Yes
25,Travel_Rarely,1219,'Research & Development',4,1,'Technical Degree',1,1106,4,Male,32,3,1,'Laboratory Technician',4,Married,3691,4605,1,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6,Yes
25,Travel_Rarely,1356,Sales,10,4,'Life Sciences',1,1240,3,Male,57,3,2,'Sales Executive',4,Single,4950,20623,0,Y,No,14,3,2,80,0,5,4,3,4,3,1,1,No
25,Travel_Frequently,599,Sales,24,1,'Life Sciences',1,1273,3,Male,73,1,1,'Sales Representative',4,Single,1118,8040,1,Y,Yes,14,3,4,80,0,1,4,3,1,0,1,0,Yes
25,Travel_Rarely,266,'Research & Development',1,3,Medical,1,1303,4,Female,40,3,1,'Research Scientist',2,Single,2096,18830,1,Y,No,18,3,4,80,0,2,3,2,2,2,2,1,No
25,Travel_Rarely,882,'Research & Development',19,1,Medical,1,1358,4,Male,67,3,1,'Laboratory Technician',4,Married,3669,9075,3,Y,No,11,3,3,80,3,7,6,2,3,2,1,2,No
25,Travel_Rarely,1372,Sales,18,1,'Life Sciences',1,1399,1,Male,93,4,2,'Sales Executive',3,Married,6232,12477,2,Y,No,11,3,2,80,0,6,3,2,3,2,1,2,No
25,Travel_Rarely,949,'Research & Development',1,3,'Technical Degree',1,1415,1,Male,81,3,1,'Laboratory Technician',4,Married,3229,4910,4,Y,No,11,3,2,80,1,7,2,2,3,2,0,2,No
25,Travel_Rarely,383,Sales,9,2,'Life Sciences',1,1439,1,Male,68,2,1,'Sales Representative',1,Married,4400,15182,3,Y,No,12,3,1,80,0,6,2,3,3,2,2,2,Yes
25,Travel_Frequently,772,'Research & Development',2,1,'Life Sciences',1,1653,4,Male,77,4,2,'Manufacturing Director',3,Divorced,5206,4973,1,Y,No,17,3,3,80,2,7,6,3,7,7,0,7,No
25,Travel_Rarely,309,'Human Resources',2,3,'Human Resources',1,1987,3,Female,82,3,1,'Human Resources',2,Married,2187,19655,4,Y,No,14,3,3,80,0,6,3,3,2,0,1,2,No
25,Travel_Rarely,977,'Research & Development',2,1,Other,1,1992,4,Male,57,3,1,'Laboratory Technician',3,Divorced,3977,7298,6,Y,Yes,19,3,3,80,1,7,2,2,2,2,0,2,No
26,Travel_Rarely,1357,'Research & Development',25,3,'Life Sciences',1,55,1,Male,48,1,1,'Laboratory Technician',3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,Yes
26,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,'Sales Executive',4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,No
26,Travel_Rarely,841,'Research & Development',6,3,Other,1,164,3,Female,46,2,1,'Research Scientist',2,Married,2368,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3,No
26,Travel_Frequently,496,'Research & Development',11,2,Medical,1,390,1,Male,60,3,2,'Healthcare Representative',1,Married,4741,22722,1,Y,Yes,13,3,3,80,1,5,3,3,5,3,3,3,No
26,Travel_Rarely,1449,'Research & Development',16,4,Medical,1,394,1,Male,45,3,1,'Laboratory Technician',2,Divorced,2373,14180,2,Y,Yes,13,3,4,80,1,5,2,3,3,2,0,2,Yes
26,Travel_Rarely,950,Sales,4,4,Marketing,1,401,4,Male,48,2,2,'Sales Executive',4,Single,5828,8450,1,Y,Yes,12,3,2,80,0,8,0,3,8,7,7,4,Yes
26,Travel_Rarely,933,Sales,1,3,'Life Sciences',1,476,3,Male,57,3,2,'Sales Executive',3,Married,5296,20156,1,Y,No,17,3,2,80,1,8,3,3,8,7,7,7,No
26,Travel_Frequently,426,'Human Resources',17,4,'Life Sciences',1,608,2,Female,58,3,1,'Human Resources',3,Divorced,2741,22808,0,Y,Yes,11,3,2,80,1,8,2,2,7,7,1,0,Yes
26,Travel_Rarely,775,Sales,29,2,Medical,1,618,1,Male,45,3,2,'Sales Executive',3,Divorced,4306,4267,5,Y,No,12,3,1,80,2,8,5,3,0,0,0,0,No
26,Travel_Rarely,471,'Research & Development',24,3,'Technical Degree',1,622,3,Male,66,1,1,'Laboratory Technician',4,Single,2340,23213,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0,Yes
26,Travel_Rarely,991,'Research & Development',6,3,'Life Sciences',1,686,3,Female,71,3,1,'Laboratory Technician',4,Married,2659,17759,1,Y,Yes,13,3,3,80,1,3,2,3,3,2,0,2,No
26,Travel_Frequently,575,'Research & Development',1,2,'Life Sciences',1,792,1,Female,71,1,1,'Laboratory Technician',4,Divorced,4364,5288,3,Y,No,14,3,1,80,1,5,2,3,2,2,2,0,No
26,Travel_Rarely,1146,Sales,8,3,'Technical Degree',1,796,4,Male,38,2,2,'Sales Executive',1,Single,5326,3064,6,Y,No,17,3,3,80,0,6,2,2,4,3,1,2,Yes
26,Travel_Frequently,887,'Research & Development',5,2,Medical,1,848,3,Female,88,2,1,'Research Scientist',3,Married,2366,20898,1,Y,Yes,14,3,1,80,1,8,2,3,8,7,1,7,Yes
26,Travel_Frequently,1283,Sales,1,3,Medical,1,956,3,Male,52,2,2,'Sales Executive',1,Single,4294,11148,1,Y,No,12,3,2,80,0,7,2,3,7,7,0,7,No
26,Travel_Rarely,1066,'Research & Development',2,2,Medical,1,1018,4,Male,32,4,2,'Manufacturing Director',4,Married,5472,3334,1,Y,No,12,3,2,80,0,8,2,3,8,7,1,3,No
26,Non-Travel,265,Sales,29,2,Medical,1,1037,2,Male,79,1,2,'Sales Executive',1,Single,4969,21813,8,Y,No,18,3,4,80,0,7,6,3,2,2,2,2,Yes
26,Travel_Frequently,342,'Research & Development',2,3,'Life Sciences',1,1053,1,Male,57,3,1,'Research Scientist',1,Married,2042,15346,6,Y,Yes,14,3,2,80,1,6,2,3,3,2,1,2,Yes
